,amount,price,symbol
2010-10-18,100,163.559998,AMZN
2011-12-29,-100,173.860001,AMZN
2012-05-16,100,224.059998,AMZN
2014-05-02,-100,308.01001,AMZN
2015-02-19,100,379.0,AMZN
2016-03-28,-100,579.869995,AMZN
2016-04-21,100,631.0,AMZN
