,AMZN,AAPL,cash
2010-06-08,0,0,500000.0
2010-06-09,0,0,500000.0
2010-06-10,0,0,500000.0
2010-06-11,0,0,500000.0
2010-06-14,0,0,500000.0
2010-06-15,0,0,500000.0
2010-06-16,0,0,500000.0
2010-06-17,0,0,500000.0
2010-06-18,0,0,500000.0
2010-06-21,0,0,500000.0
2010-06-22,0,0,500000.0
2010-06-23,0,0,500000.0
2010-06-24,0,0,500000.0
2010-06-25,0,0,500000.0
2010-06-28,0,0,500000.0
2010-06-29,0,0,500000.0
2010-06-30,0,0,500000.0
2010-07-01,0,0,500000.0
2010-07-02,0,0,500000.0
2010-07-06,0,0,500000.0
2010-07-07,0,0,500000.0
2010-07-08,0,0,500000.0
2010-07-09,0,0,500000.0
2010-07-12,0,0,500000.0
2010-07-13,0,0,500000.0
2010-07-14,0,0,500000.0
2010-07-15,0,0,500000.0
2010-07-16,0,0,500000.0
2010-07-19,0,0,500000.0
2010-07-20,0,0,500000.0
2010-07-21,0,0,500000.0
2010-07-22,0,0,500000.0
2010-07-23,0,0,500000.0
2010-07-26,0,0,500000.0
2010-07-27,0,0,500000.0
2010-07-28,0,0,500000.0
2010-07-29,0,0,500000.0
2010-07-30,0,0,500000.0
2010-08-02,0,0,500000.0
2010-08-03,0,0,500000.0
2010-08-04,0,0,500000.0
2010-08-05,0,0,500000.0
2010-08-06,0,0,500000.0
2010-08-09,0,0,500000.0
2010-08-10,0,0,500000.0
2010-08-11,0,0,500000.0
2010-08-12,0,0,500000.0
2010-08-13,0,0,500000.0
2010-08-16,0,0,500000.0
2010-08-17,0,0,500000.0
2010-08-18,0,0,500000.0
2010-08-19,0,0,500000.0
2010-08-20,0,0,500000.0
2010-08-23,0,0,500000.0
2010-08-24,0,0,500000.0
2010-08-25,0,0,500000.0
2010-08-26,0,0,500000.0
2010-08-27,0,0,500000.0
2010-08-30,0,0,500000.0
2010-08-31,0,0,500000.0
2010-09-01,0,0,500000.0
2010-09-02,0,0,500000.0
2010-09-03,0,0,500000.0
2010-09-07,0,0,500000.0
2010-09-08,0,0,500000.0
2010-09-09,0,0,500000.0
2010-09-10,0,0,500000.0
2010-09-13,0,0,500000.0
2010-09-14,0,0,500000.0
2010-09-15,0,0,500000.0
2010-09-16,0,0,500000.0
2010-09-17,0,0,500000.0
2010-09-20,0,0,500000.0
2010-09-21,0,0,500000.0
2010-09-22,0,0,500000.0
2010-09-23,0,0,500000.0
2010-09-24,0,0,500000.0
2010-09-27,0,0,500000.0
2010-09-28,0,0,500000.0
2010-09-29,0,0,500000.0
2010-09-30,0,0,500000.0
2010-10-01,0,0,500000.0
2010-10-04,0,0,500000.0
2010-10-05,0,0,500000.0
2010-10-06,0,0,500000.0
2010-10-07,0,0,500000.0
2010-10-08,0,0,500000.0
2010-10-11,0,0,500000.0
2010-10-12,0,0,500000.0
2010-10-13,0,0,500000.0
2010-10-14,0,0,500000.0
2010-10-15,0,0,500000.0
2010-10-18,16356.0,0,483644.0
2010-10-19,15866.999999999998,0,483644.0
2010-10-20,15866.999999999998,0,483644.0
2010-10-21,16497.0,0,483644.0
2010-10-22,16913.0,0,483644.0
2010-10-25,16900.0,0,483644.0
2010-10-26,16995.0,0,483644.0
2010-10-27,16751.0,0,483644.0
2010-10-28,16684.0,0,483644.0
2010-10-29,16523.0,0,483644.0
2010-11-01,16258.000000000002,0,483644.0
2010-11-02,16461.0,0,483644.0
2010-11-03,16847.0,0,483644.0
2010-11-04,16893.0,0,483644.0
2010-11-05,17077.0,0,483644.0
2010-11-08,17199.0,0,483644.0
2010-11-09,17027.0,0,483644.0
2010-11-10,17333.0,0,483644.0
2010-11-11,17037.0,0,483644.0
2010-11-12,16568.0,0,483644.0
2010-11-15,15890.0,0,483644.0
2010-11-16,15778.0,0,483644.0
2010-11-17,15835.0,0,483644.0
2010-11-18,16417.0,0,483644.0
2010-11-19,16482.0,0,483644.0
2010-11-22,17039.0,0,483644.0
2010-11-23,16820.0,0,483644.0
2010-11-24,17725.0,0,483644.0
2010-11-26,17720.0,0,483644.0
2010-11-29,17949.0,0,483644.0
2010-11-30,17540.0,0,483644.0
2010-12-01,17655.0,0,483644.0
2010-12-02,17653.0,0,483644.0
2010-12-03,17568.0,0,483644.0
2010-12-06,17805.0,0,483644.0
2010-12-07,17677.0,0,483644.0
2010-12-08,17629.0,0,483644.0
2010-12-09,17485.0,0,483644.0
2010-12-10,17562.0,0,483644.0
2010-12-13,17425.0,0,483644.0
2010-12-14,17394.0,0,483644.0
2010-12-15,17557.0,0,483644.0
2010-12-16,17804.0,0,483644.0
2010-12-17,17758.0,0,483644.0
2010-12-20,18329.0,0,483644.0
2010-12-21,18475.0,0,483644.0
2010-12-22,18476.0,0,483644.0
2010-12-23,18259.0,0,483644.0
2010-12-27,18214.0,0,483644.0
2010-12-28,18109.0,0,483644.0
2010-12-29,18337.0,0,483644.0
2010-12-30,18275.0,0,483644.0
2010-12-31,18000.0,0,483644.0
2011-01-03,18422.0,0,483644.0
2011-01-04,18501.0,0,483644.0
2011-01-05,18742.0,0,483644.0
2011-01-06,18586.0,0,483644.0
2011-01-07,18549.0,0,483644.0
2011-01-10,18468.0,0,483644.0
2011-01-11,18434.0,0,483644.0
2011-01-12,18408.0,0,483644.0
2011-01-13,18553.0,0,483644.0
2011-01-14,18875.0,0,483644.0
2011-01-18,19125.0,0,483644.0
2011-01-19,18687.0,0,483644.0
2011-01-20,18196.0,0,483644.0
2011-01-21,17742.0,0,483644.0
2011-01-24,17685.0,0,483644.0
2011-01-25,17670.0,0,483644.0
2011-01-26,17539.0,0,483644.0
2011-01-27,18445.0,0,483644.0
2011-01-28,17114.0,0,483644.0
2011-01-31,16964.0,0,483644.0
2011-02-01,17211.0,0,483644.0
2011-02-02,17353.0,0,483644.0
2011-02-03,17371.0,0,483644.0
2011-02-04,17593.0,0,483644.0
2011-02-07,17643.0,0,483644.0
2011-02-08,18306.0,0,483644.0
2011-02-09,18530.0,0,483644.0
2011-02-10,18621.0,0,483644.0
2011-02-11,18925.0,0,483644.0
2011-02-14,19042.0,0,483644.0
2011-02-15,18903.0,0,483644.0
2011-02-16,18662.0,0,483644.0
2011-02-17,18776.0,0,483644.0
2011-02-18,18650.0,0,483644.0
2011-02-22,18042.0,0,483644.0
2011-02-23,17668.0,0,483644.0
2011-02-24,17775.0,0,483644.0
2011-02-25,17724.0,0,483644.0
2011-02-28,17329.0,0,483644.0
2011-03-01,16944.0,0,483644.0
2011-03-02,17202.0,0,483644.0
2011-03-03,17279.0,0,483644.0
2011-03-04,17167.0,0,483644.0
2011-03-07,16908.0,0,483644.0
2011-03-08,16689.0,0,483644.0
2011-03-09,16905.0,0,483644.0
2011-03-10,16614.0,0,483644.0
2011-03-11,16807.0,0,483644.0
2011-03-14,16673.0,0,483644.0
2011-03-15,16508.0,0,483644.0
2011-03-16,16470.0,0,483644.0
2011-03-17,16097.0,0,483644.0
2011-03-18,16182.0,0,483644.0
2011-03-21,16452.5,0,483644.0
2011-03-22,16260.0,0,483644.0
2011-03-23,16532.0,0,483644.0
2011-03-24,17110.0,0,483644.0
2011-03-25,17098.0,0,483644.0
2011-03-28,16935.0,0,483644.0
2011-03-29,17462.0,0,483644.0
2011-03-30,17942.0,0,483644.0
2011-03-31,18013.0,0,483644.0
2011-04-01,18013.0,0,483644.0
2011-04-04,18294.0,0,483644.0
2011-04-05,18529.0,0,483644.0
2011-04-06,18276.0,0,483644.0
2011-04-07,18491.0,0,483644.0
2011-04-08,18471.0,0,483644.0
2011-04-11,18404.0,0,483644.0
2011-04-12,18048.0,0,483644.0
2011-04-13,18229.0,0,483644.0
2011-04-14,18182.0,0,483644.0
2011-04-15,18001.0,0,483644.0
2011-04-18,17834.0,0,483644.0
2011-04-19,17882.0,0,483644.0
2011-04-20,18387.0,0,483644.0
2011-04-21,18589.0,0,483644.0
2011-04-25,18542.0,0,483644.0
2011-04-26,18230.0,0,483644.0
2011-04-27,19663.0,0,483644.0
2011-04-28,19507.0,0,483644.0
2011-04-29,19581.0,0,483644.0
2011-05-02,20119.0,0,483644.0
2011-05-03,19845.0,0,483644.0
2011-05-04,19997.0,0,483644.0
2011-05-05,19711.0,0,483644.0
2011-05-06,19760.0,0,483644.0
2011-05-09,20080.0,0,483644.0
2011-05-10,20394.0,0,483644.0
2011-05-11,20438.0,0,483644.0
2011-05-12,20607.0,0,483644.0
2011-05-13,20256.0,0,483644.0
2011-05-16,19251.0,0,483644.0
2011-05-17,19481.0,0,483644.0
2011-05-18,19709.0,0,483644.0
2011-05-19,19880.5,0,483644.0
2011-05-20,19865.0,0,483644.0
2011-05-23,19622.0,0,483644.0
2011-05-24,19327.0,0,483644.0
2011-05-25,19226.0,0,483644.0
2011-05-26,19500.0,0,483644.0
2011-05-27,19413.0,0,483644.0
2011-05-31,19669.0,0,483644.0
2011-06-01,19239.5,0,483644.0
2011-06-02,19365.0,0,483644.0
2011-06-03,18832.0,0,483644.0
2011-06-06,18569.0,0,483644.0
2011-06-07,18755.0,0,483644.0
2011-06-08,18805.0,0,483644.0
2011-06-09,18968.0,0,483644.0
2011-06-10,18653.0,0,483644.0
2011-06-13,18629.0,0,483644.0
2011-06-14,18996.0,0,483644.0
2011-06-15,18598.0,0,483644.0
2011-06-16,18365.0,0,483644.0
2011-06-17,18637.0,0,483644.0
2011-06-20,18772.0,0,483644.0
2011-06-21,19423.0,0,483644.0
2011-06-22,19163.0,0,483644.0
2011-06-23,19416.0,0,483644.0
2011-06-24,19255.0,0,483644.0
2011-06-27,20125.0,0,483644.0
2011-06-28,20235.0,0,483644.0
2011-06-29,20418.0,0,483644.0
2011-06-30,20449.0,0,483644.0
2011-07-01,20949.0,0,483644.0
2011-07-05,21319.0,0,483644.0
2011-07-06,21419.0,0,483644.0
2011-07-07,21674.0,0,483644.0
2011-07-08,21828.0,0,483644.0
2011-07-11,21255.0,0,483644.0
2011-07-12,21123.0,0,483644.0
2011-07-13,21350.0,0,483644.0
2011-07-14,21038.0,0,483644.0
2011-07-15,21287.0,0,483644.0
2011-07-18,21153.0,0,483644.0
2011-07-19,21806.0,0,483644.0
2011-07-20,21555.0,0,483644.0
2011-07-21,21321.0,0,483644.0
2011-07-22,21652.0,0,483644.0
2011-07-25,21349.0,0,483644.0
2011-07-26,21418.0,0,483644.0
2011-07-27,22251.8,0,483644.0
2011-07-28,22390.0,0,483644.0
2011-07-29,22252.0,0,483644.0
2011-08-01,22132.0,0,483644.0
2011-08-02,21170.0,0,483644.0
2011-08-03,20996.0,0,483644.0
2011-08-04,20148.0,0,483644.0
2011-08-05,20270.0,0,483644.0
2011-08-08,19370.0,0,483644.0
2011-08-09,20509.0,0,483644.0
2011-08-10,19413.0,0,483644.0
2011-08-11,19836.0,0,483644.0
2011-08-12,20230.0,0,483644.0
2011-08-15,20295.0,0,483644.0
2011-08-16,19768.0,0,483644.0
2011-08-17,19593.0,0,483644.0
2011-08-18,18252.0,0,483644.0
2011-08-19,17893.0,0,483644.0
2011-08-22,17754.0,0,483644.0
2011-08-23,19355.0,0,483644.0
2011-08-24,19373.0,0,483644.0
2011-08-25,19203.0,0,483644.0
2011-08-26,19927.0,0,483644.0
2011-08-29,20653.0,0,483644.0
2011-08-30,21092.0,0,483644.0
2011-08-31,21523.0,0,483644.0
2011-09-01,21254.0,0,483644.0
2011-09-02,21000.0,0,483644.0
2011-09-06,21618.0,0,483644.0
2011-09-07,21990.0,0,483644.0
2011-09-08,21726.0,0,483644.0
2011-09-09,21139.0,0,483644.0
2011-09-12,21656.0,0,483644.0
2011-09-13,21953.0,0,483644.0
2011-09-14,22257.0,0,483644.0
2011-09-15,22678.0,0,483644.0
2011-09-16,23930.0,0,483644.0
2011-09-19,24169.0,0,483644.0
2011-09-20,23325.0,0,483644.0
2011-09-21,23187.0,0,483644.0
2011-09-22,22323.0,0,483644.0
2011-09-23,22361.0,0,483644.0
2011-09-26,22985.0,0,483644.0
2011-09-27,22421.0,0,483644.0
2011-09-28,22971.0,0,483644.0
2011-09-29,22244.0,0,483644.0
2011-09-30,21623.0,0,483644.0
2011-10-03,21198.0,0,483644.0
2011-10-04,21250.0,0,483644.0
2011-10-05,21949.8,0,483644.0
2011-10-06,22151.0,0,483644.0
2011-10-07,22474.0,0,483644.0
2011-10-10,23132.0,0,483644.0
2011-10-11,23548.0,0,483644.0
2011-10-12,23681.0,0,483644.0
2011-10-13,23615.0,0,483644.0
2011-10-14,24671.0,0,483644.0
2011-10-17,24233.0,0,483644.0
2011-10-18,24388.0,0,483644.0
2011-10-19,23153.0,0,483644.0
2011-10-20,23361.0,0,483644.0
2011-10-21,23478.0,0,483644.0
2011-10-24,23761.0,0,483644.0
2011-10-25,22715.0,0,483644.0
2011-10-26,19840.0,0,483644.0
2011-10-27,20678.0,0,483644.0
2011-10-28,21732.0,0,483644.0
2011-10-31,21351.0,0,483644.0
2011-11-01,21210.5,0,483644.0
2011-11-02,21562.0,0,483644.0
2011-11-03,21829.0,0,483644.0
2011-11-04,21648.0,0,483644.0
2011-11-07,21700.0,0,483644.0
2011-11-08,21799.0,0,483644.0
2011-11-09,21122.0,0,483644.0
2011-11-10,21079.0,0,483644.0
2011-11-11,21739.0,0,483644.0
2011-11-14,21893.0,0,483644.0
2011-11-15,21783.0,0,483644.0
2011-11-16,21199.0,0,483644.0
2011-11-17,20452.0,0,483644.0
2011-11-18,19714.0,0,483644.0
2011-11-21,18925.0,0,483644.0
2011-11-22,19234.0,0,483644.0
2011-11-23,18899.0,0,483644.0
2011-11-25,18239.9,0,483644.0
2011-11-28,19415.0,0,483644.0
2011-11-29,18839.0,0,483644.0
2011-11-30,19229.0,0,483644.0
2011-12-01,19713.0,0,483644.0
2011-12-02,19603.0,0,483644.0
2011-12-05,19624.0,0,483644.0
2011-12-06,19199.0,0,483644.0
2011-12-07,19532.0,0,483644.0
2011-12-08,19048.0,0,483644.0
2011-12-09,19303.0,0,483644.0
2011-12-12,18952.0,0,483644.0
2011-12-13,18051.0,0,483644.0
2011-12-14,18021.0,0,483644.0
2011-12-15,18126.0,0,483644.0
2011-12-16,18126.0,0,483644.0
2011-12-19,17933.0,0,483644.0
2011-12-20,18252.0,0,483644.0
2011-12-21,17435.0,0,483644.0
2011-12-22,17903.0,0,483644.0
2011-12-23,17728.0,0,483644.0
2011-12-27,17627.0,0,483644.0
2011-12-28,17389.0,0,483644.0
2011-12-29,0.0,0,501030.0
2011-12-30,0.0,0,501030.0
2012-01-03,0.0,0,501030.0
2012-01-04,0.0,0,501030.0
2012-01-05,0.0,0,501030.0
2012-01-06,0.0,0,501030.0
2012-01-09,0.0,0,501030.0
2012-01-10,0.0,0,501030.0
2012-01-11,0.0,0,501030.0
2012-01-12,0.0,0,501030.0
2012-01-13,0.0,0,501030.0
2012-01-17,0.0,0,501030.0
2012-01-18,0.0,0,501030.0
2012-01-19,0.0,0,501030.0
2012-01-20,0.0,0,501030.0
2012-01-23,0.0,0,501030.0
2012-01-24,0.0,0,501030.0
2012-01-25,0.0,0,501030.0
2012-01-26,0.0,0,501030.0
2012-01-27,0.0,0,501030.0
2012-01-30,0.0,0,501030.0
2012-01-31,0.0,0,501030.0
2012-02-01,0.0,0,501030.0
2012-02-02,0.0,0,501030.0
2012-02-03,0.0,0,501030.0
2012-02-06,0.0,0,501030.0
2012-02-07,0.0,0,501030.0
2012-02-08,0.0,0,501030.0
2012-02-09,0.0,0,501030.0
2012-02-10,0.0,0,501030.0
2012-02-13,0.0,0,501030.0
2012-02-14,0.0,0,501030.0
2012-02-15,0.0,0,501030.0
2012-02-16,0.0,0,501030.0
2012-02-17,0.0,0,501030.0
2012-02-21,0.0,0,501030.0
2012-02-22,0.0,0,501030.0
2012-02-23,0.0,0,501030.0
2012-02-24,0.0,0,501030.0
2012-02-27,0.0,0,501030.0
2012-02-28,0.0,0,501030.0
2012-02-29,0.0,0,501030.0
2012-03-01,0.0,0,501030.0
2012-03-02,0.0,0,501030.0
2012-03-05,0.0,0,501030.0
2012-03-06,0.0,0,501030.0
2012-03-07,0.0,0,501030.0
2012-03-08,0.0,0,501030.0
2012-03-09,0.0,0,501030.0
2012-03-12,0.0,0,501030.0
2012-03-13,0.0,0,501030.0
2012-03-14,0.0,0,501030.0
2012-03-15,0.0,0,501030.0
2012-03-16,0.0,0,501030.0
2012-03-19,0.0,0,501030.0
2012-03-20,0.0,0,501030.0
2012-03-21,0.0,0,501030.0
2012-03-22,0.0,0,501030.0
2012-03-23,0.0,0,501030.0
2012-03-26,0.0,0,501030.0
2012-03-27,0.0,0,501030.0
2012-03-28,0.0,0,501030.0
2012-03-29,0.0,0,501030.0
2012-03-30,0.0,0,501030.0
2012-04-02,0.0,0,501030.0
2012-04-03,0.0,0,501030.0
2012-04-04,0.0,0,501030.0
2012-04-05,0.0,0,501030.0
2012-04-09,0.0,0,501030.0
2012-04-10,0.0,0,501030.0
2012-04-11,0.0,0,501030.0
2012-04-12,0.0,0,501030.0
2012-04-13,0.0,0,501030.0
2012-04-16,0.0,0,501030.0
2012-04-17,0.0,0,501030.0
2012-04-18,0.0,0,501030.0
2012-04-19,0.0,0,501030.0
2012-04-20,0.0,0,501030.0
2012-04-23,0.0,0,501030.0
2012-04-24,0.0,0,501030.0
2012-04-25,0.0,0,501030.0
2012-04-26,0.0,0,501030.0
2012-04-27,0.0,0,501030.0
2012-04-30,0.0,0,501030.0
2012-05-01,0.0,0,501030.0
2012-05-02,0.0,0,501030.0
2012-05-03,0.0,0,501030.0
2012-05-04,0.0,0,501030.0
2012-05-07,0.0,0,501030.0
2012-05-08,0.0,0,501030.0
2012-05-09,0.0,0,501030.0
2012-05-10,0.0,0,501030.0
2012-05-11,0.0,0,501030.0
2012-05-14,0.0,0,501030.0
2012-05-15,0.0,0,501030.0
2012-05-16,22406.0,0,478624.0
2012-05-17,21836.0,0,478624.0
2012-05-18,21385.0,0,478624.0
2012-05-21,21811.0,0,478624.0
2012-05-22,21533.0,0,478624.0
2012-05-23,21728.0,0,478624.0
2012-05-24,21524.0,0,478624.0
2012-05-25,21289.0,0,478624.0
2012-05-29,21475.0,0,478624.0
2012-05-30,20923.0,0,478624.0
2012-05-31,21291.0,0,478624.0
2012-06-01,20822.0,0,478624.0
2012-06-04,21457.0,0,478624.0
2012-06-05,21321.0,0,478624.0
2012-06-06,21764.0,0,478624.0
2012-06-07,21880.0,0,478624.0
2012-06-08,21848.0,0,478624.0
2012-06-11,21650.0,0,478624.0
2012-06-12,21642.0,0,478624.0
2012-06-13,21473.0,0,478624.0
2012-06-14,21445.0,0,478624.0
2012-06-15,21835.0,0,478624.0
2012-06-18,22266.0,0,478624.0
2012-06-19,22403.0,0,478624.0
2012-06-20,22302.0,0,478624.0
2012-06-21,22057.5,0,478624.0
2012-06-22,22216.0,0,478624.0
2012-06-25,22007.0,0,478624.0
2012-06-26,22561.0,0,478624.0
2012-06-27,22562.0,0,478624.0
2012-06-28,22131.0,0,478624.0
2012-06-29,22835.0,0,478624.0
2012-07-02,22932.0,0,478624.0
2012-07-03,22953.0,0,478624.0
2012-07-05,22706.0,0,478624.0
2012-07-06,22505.0,0,478624.0
2012-07-09,22505.0,0,478624.0
2012-07-10,21950.0,0,478624.0
2012-07-11,21837.0,0,478624.0
2012-07-12,21536.0,0,478624.0
2012-07-13,21839.0,0,478624.0
2012-07-16,21601.0,0,478624.0
2012-07-17,21693.0,0,478624.0
2012-07-18,21747.0,0,478624.0
2012-07-19,22617.0,0,478624.0
2012-07-20,22829.0,0,478624.0
2012-07-23,22601.0,0,478624.0
2012-07-24,22304.0,0,478624.0
2012-07-25,21705.0,0,478624.0
2012-07-26,22001.0,0,478624.0
2012-07-27,23732.0,0,478624.0
2012-07-30,23609.0,0,478624.0
2012-07-31,23330.0,0,478624.0
2012-08-01,23209.0,0,478624.0
2012-08-02,23081.0,0,478624.0
2012-08-03,23497.0,0,478624.0
2012-08-06,23399.0,0,478624.0
2012-08-07,23656.0,0,478624.0
2012-08-08,23438.0,0,478624.0
2012-08-09,23406.0,0,478624.0
2012-08-10,23275.0,0,478624.0
2012-08-13,23244.0,0,478624.0
2012-08-14,23319.0,0,478624.0
2012-08-15,23742.0,0,478624.0
2012-08-16,24155.0,0,478624.0
2012-08-17,24117.0,0,478624.0
2012-08-20,24035.0,0,478624.0
2012-08-21,23945.0,0,478624.0
2012-08-22,24310.0,0,478624.0
2012-08-23,24119.8,0,478624.0
2012-08-24,24574.0,0,478624.0
2012-08-27,24392.0,0,478624.0
2012-08-28,24611.0,0,478624.0
2012-08-29,24712.0,0,478624.0
2012-08-30,24622.0,0,478624.0
2012-08-31,24827.0,0,478624.0
2012-09-04,24788.0,0,478624.0
2012-09-05,24622.0,0,478624.0
2012-09-06,25138.0,0,478624.0
2012-09-07,25914.0,0,478624.0
2012-09-10,25708.999999999996,0,478624.0
2012-09-11,25567.0,0,478624.0
2012-09-12,25563.0,0,478624.0
2012-09-13,26024.0,0,478624.0
2012-09-14,26127.0,0,478624.0
2012-09-17,25800.0,0,478624.0
2012-09-18,25875.0,0,478624.0
2012-09-19,26168.0,0,478624.0
2012-09-20,26081.0,0,478624.0
2012-09-21,25747.000000000004,0,478624.0
2012-09-24,25480.5,0,478624.0
2012-09-25,25246.0,0,478624.0
2012-09-26,24967.0,0,478624.0
2012-09-27,25658.999999999996,0,478624.0
2012-09-28,25432.0,0,478624.0
2012-10-01,25201.0,0,478624.0
2012-10-02,25060.0,0,478624.0
2012-10-03,25592.0,0,478624.0
2012-10-04,26047.000000000004,0,478624.0
2012-10-05,25851.0,0,478624.0
2012-10-08,25906.0,0,478624.0
2012-10-09,25096.0,0,478624.0
2012-10-10,24499.0,0,478624.0
2012-10-11,24422.0,0,478624.0
2012-10-12,24236.0,0,478624.0
2012-10-15,24418.0,0,478624.0
2012-10-16,24394.0,0,478624.0
2012-10-17,24749.0,0,478624.0
2012-10-18,24485.0,0,478624.0
2012-10-19,24000.0,0,478624.0
2012-10-22,23378.0,0,478624.0
2012-10-23,23431.0,0,478624.0
2012-10-24,22849.0,0,478624.0
2012-10-25,22292.0,0,478624.0
2012-10-26,23824.0,0,478624.0
2012-10-31,23289.31,0,478624.0
2012-11-01,23214.0,0,478624.0
2012-11-02,23242.24,0,478624.0
2012-11-05,23433.0,0,478624.0
2012-11-06,23756.0,0,478624.0
2012-11-07,23206.08,0,478624.0
2012-11-08,22735.0,0,478624.0
2012-11-09,22631.0,0,478624.0
2012-11-12,22647.0,0,478624.0
2012-11-13,22660.0,0,478624.0
2012-11-14,22295.0,0,478624.0
2012-11-15,22059.899999999998,0,478624.0
2012-11-16,22523.0,0,478624.0
2012-11-19,22971.0,0,478624.0
2012-11-20,23378.0,0,478624.0
2012-11-21,23803.0,0,478624.0
2012-11-23,23988.0,0,478624.0
2012-11-26,24362.0,0,478624.0
2012-11-27,24340.170000000002,0,478624.0
2012-11-28,24711.0,0,478624.0
2012-11-29,25127.0,0,478624.0
2012-11-30,25205.0,0,478624.0
2012-12-03,25032.91,0,478624.0
2012-12-04,25248.81,0,478624.0
2012-12-05,25396.0,0,478624.0
2012-12-06,25337.0,0,478624.0
2012-12-07,25326.81,0,478624.0
2012-12-10,24777.0,0,478624.0
2012-12-11,25069.0,0,478624.0
2012-12-12,25176.0,0,478624.0
2012-12-13,25125.0,0,478624.0
2012-12-14,24919.0,0,478624.0
2012-12-17,25386.0,0,478624.0
2012-12-18,26039.999999999996,0,478624.0
2012-12-19,25799.0,0,478624.0
2012-12-20,26150.0,0,478624.0
2012-12-21,25692.0,0,478624.0
2012-12-24,25862.0,0,478624.0
2012-12-26,24863.140000000003,0,478624.0
2012-12-27,24831.0,0,478624.0
2012-12-28,24518.0,0,478624.0
2012-12-31,25087.0,0,478624.0
2013-01-02,25731.0,0,478624.0
2013-01-03,25848.0,0,478624.0
2013-01-04,25914.999999999996,0,478624.0
2013-01-07,26845.920000000002,0,478624.0
2013-01-08,26638.0,0,478624.0
2013-01-09,26635.000000000004,0,478624.0
2013-01-10,26533.999999999996,0,478624.0
2013-01-11,26794.0,0,478624.0
2013-01-14,27273.0,0,478624.0
2013-01-15,27189.999999999996,0,478624.0
2013-01-16,26893.0,0,478624.0
2013-01-17,27048.0,0,478624.0
2013-01-18,27212.0,0,478624.0
2013-01-22,27019.0,0,478624.0
2013-01-23,26811.0,0,478624.0
