,amount,price,symbol
2012-01-03,117,1277.06,SPX Index
2012-04-10,-234,1358.59,SPX Index
2012-05-01,226,1405.82,SPX Index
2012-05-11,-218,1353.39,SPX Index
2012-06-15,220,1342.84,SPX Index
2012-09-05,-222,1403.43,SPX Index
2012-09-07,216,1437.92,SPX Index
2012-10-04,-210,1461.4,SPX Index
2012-11-30,217,1416.18,SPX Index
2013-03-01,-224,1518.2,SPX Index
2013-03-07,220,1544.26,SPX Index
2013-04-25,-216,1585.16,SPX Index
2013-04-29,215,1593.61,SPX Index
2013-06-05,-214,1608.9,SPX Index
2013-07-09,209,1652.32,SPX Index
2013-08-16,-204,1655.83,SPX Index
2013-09-11,199,1689.13,SPX Index
2013-10-04,-194,1690.5,SPX Index
2013-10-18,188,1744.5,SPX Index
2013-12-12,-182,1775.5,SPX Index
2013-12-26,176,1842.02,SPX Index
2014-01-24,-170,1790.29,SPX Index
2014-02-18,165,1840.76,SPX Index
2014-03-24,-160,1857.44,SPX Index
2014-04-02,157,1890.9,SPX Index
2014-04-14,-154,1830.61,SPX Index
2014-04-28,151,1869.43,SPX Index
2014-08-01,-148,1925.15,SPX Index
2014-08-21,143,1992.37,SPX Index
2014-09-17,-138,2001.57,SPX Index
2014-10-29,139,1982.3,SPX Index
2014-12-12,-140,2002.33,SPX Index
2014-12-29,134,2090.57,SPX Index
2015-01-13,-129,2023.03,SPX Index
2015-01-30,131,1994.99,SPX Index
2015-03-10,-132,2044.16,SPX Index
2015-03-27,131,2061.02,SPX Index
2015-04-07,-130,2076.33,SPX Index
2015-04-15,128,2106.63,SPX Index
2015-05-08,-126,2116.1,SPX Index
2015-05-19,126,2127.83,SPX Index
2015-06-05,-126,2092.83,SPX Index
2015-06-23,124,2124.2,SPX Index
2015-07-02,-122,2076.78,SPX Index
2015-07-20,119,2128.28,SPX Index
2015-08-04,-116,2093.32,SPX Index
2015-09-17,122,1990.2,SPX Index
2015-09-29,-128,1884.09,SPX Index
2015-10-12,119,2017.46,SPX Index
2015-11-17,-110,2050.44,SPX Index
2015-12-01,108,2102.63,SPX Index
2015-12-11,-106,2012.37,SPX Index
2016-01-05,105,2016.71,SPX Index
2016-01-07,-104,1943.09,SPX Index
2016-02-04,106,1915.45,SPX Index
2016-02-12,-108,1864.78,SPX Index
2016-02-24,104,1929.8,SPX Index
2016-05-05,-100,2050.63,SPX Index
2016-05-27,98,2099.06,SPX Index
2016-06-20,-96,2083.25,SPX Index
2016-07-11,94,2137.16,SPX Index
2016-08-31,-92,2170.95,SPX Index
2016-09-30,92,2168.27,SPX Index
2016-10-12,-92,2139.18,SPX Index
2016-11-15,90,2180.39,SPX Index
2017-01-06,-88,2276.98,SPX Index
2017-01-12,88,2270.44,SPX Index
2017-03-20,-88,2373.47,SPX Index
2017-04-27,88,2388.77,SPX Index
