,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-07-16,-882,1064.88,SPX Index
2010-08-02,834,1125.86,SPX Index
2010-09-14,-786,1121.1,SPX Index
2010-12-01,731,1206.07,SPX Index
2011-08-17,-676,1193.88,SPX Index
2012-02-21,592,1362.21,SPX Index
2012-09-18,-508,1459.32,SPX Index
2012-11-06,519,1428.39,SPX Index
2015-09-03,-530,1951.13,SPX Index
2016-03-15,513,2015.93,SPX Index
2016-05-03,-496,2063.37,SPX Index
2016-07-13,475,2152.43,SPX Index
