,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-07-09,-882,1077.96,SPX Index
2010-10-04,836,1137.03,SPX Index
2011-06-21,-790,1295.52,SPX Index
2011-07-01,764,1339.67,SPX Index
2011-08-08,-738,1119.46,SPX Index
2011-12-13,674,1225.73,SPX Index
2012-06-28,-610,1329.04,SPX Index
2012-09-07,564,1437.92,SPX Index
2013-01-09,-518,1461.02,SPX Index
2013-02-15,498,1519.79,SPX Index
2014-11-05,-478,2023.57,SPX Index
2014-11-14,474,2039.82,SPX Index
2015-08-24,-470,1893.21,SPX Index
2015-12-22,436,2038.97,SPX Index
2016-02-18,-402,1917.83,SPX Index
2016-05-06,375,2057.14,SPX Index
2016-11-23,-348,2204.72,SPX Index
2016-12-29,341,2249.26,SPX Index
