,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-02-23,-882,1094.6,SPX Index
2010-03-11,839,1150.24,SPX Index
2010-06-01,-796,1070.71,SPX Index
2010-09-24,742,1148.67,SPX Index
2011-06-14,-688,1287.87,SPX Index
2011-07-26,665,1331.94,SPX Index
2011-08-04,-642,1200.07,SPX Index
2011-11-09,627,1229.1,SPX Index
2012-05-25,-612,1317.82,SPX Index
2012-08-03,580,1390.99,SPX Index
2012-11-21,-548,1391.03,SPX Index
2013-01-02,521,1462.42,SPX Index
2014-10-15,-494,1862.49,SPX Index
2014-11-14,451,2039.82,SPX Index
2015-07-07,-408,2081.34,SPX Index
2015-07-21,401,2119.21,SPX Index
2015-07-24,-394,2079.65,SPX Index
2015-08-12,392,2086.05,SPX Index
2015-08-20,-391,2035.73,SPX Index
2015-11-05,380,2099.93,SPX Index
2016-01-14,-368,1921.84,SPX Index
2016-03-28,347,2037.05,SPX Index
2016-11-01,-326,2111.72,SPX Index
2016-12-02,314,2191.95,SPX Index
