,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-03-24,-882,1167.72,SPX Index
2010-04-08,868,1186.44,SPX Index
2010-06-11,-854,1091.6,SPX Index
2010-09-10,840,1109.55,SPX Index
2011-07-05,-826,1337.88,SPX Index
2011-11-09,899,1229.1,SPX Index
2012-05-31,-972,1310.33,SPX Index
2012-08-10,906,1405.87,SPX Index
2012-11-30,-840,1416.18,SPX Index
2013-01-24,796,1494.82,SPX Index
2013-10-17,-752,1733.15,SPX Index
2013-10-28,739,1762.11,SPX Index
2014-11-20,-726,2052.75,SPX Index
2014-12-09,724,2059.82,SPX Index
2015-02-19,-722,2097.45,SPX Index
2015-02-26,717,2110.74,SPX Index
2015-07-27,-712,2067.64,SPX Index
2015-11-18,707,2083.58,SPX Index
2016-01-20,-702,1859.33,SPX Index
2016-04-07,639,2041.91,SPX Index
2016-10-20,-576,2141.34,SPX Index
2016-12-08,549,2246.19,SPX Index
