,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-08-11,-882,1089.47,SPX Index
2010-10-29,812,1183.26,SPX Index
2011-07-27,-742,1304.89,SPX Index
2012-01-19,736,1314.5,SPX Index
2012-08-03,-730,1390.99,SPX Index
2012-10-05,695,1460.93,SPX Index
2015-09-08,-660,1969.41,SPX Index
2016-02-03,680,1912.53,SPX Index
2016-03-24,-700,2035.94,SPX Index
2016-06-09,673,2115.48,SPX Index
