,SPX Index,cash,total,benchmark
2012-06-08,-144496.94,295817.74000000005,151320.80000000005,155708.42403645886
2012-06-11,-142673.37,295817.74000000005,153144.37000000005,153743.36366341452
2012-06-12,-144335.62,295817.74000000005,151482.12000000005,155534.58725510168
2012-06-13,-143321.92,295817.74000000005,152495.82000000004,154442.23450738427
2012-06-14,-144871.9,295817.74000000005,150945.84000000005,156112.47709582958
2012-06-15,149055.24,392.94000000006054,149448.18000000005,157726.34018761854
2012-06-18,149270.58,392.94000000006054,149663.52000000005,157954.20731993808
2012-06-19,150735.78,392.94000000006054,151128.72000000006,159504.64347798863
2012-06-20,150481.59,392.94000000006054,150874.53000000006,159235.66629602382
2012-06-21,147131.61,392.94000000006054,147524.55000000005,155690.80544375375
2012-06-22,148187.22,392.94000000006054,148580.16000000006,156807.82422125834
2012-06-25,145822.92,392.94000000006054,146215.86000000007,154305.98405713137
2012-06-26,146518.89,392.94000000006054,146911.83000000007,155042.44123220537
2012-06-27,147835.34999999998,392.94000000006054,148228.29000000004,156435.48462875682
2012-06-28,147523.44,392.94000000006054,147916.38000000006,156105.4296587476
2012-06-29,151199.76,392.94000000006054,151592.70000000007,159995.61492803803
2012-07-02,151571.61,392.94000000006054,151964.55000000005,160389.0968317857
2012-07-03,152516.22,392.94000000006054,152909.16000000006,161388.65832458946
2012-07-05,151801.38,392.94000000006054,152194.32000000007,160632.23341111632
2012-07-06,150369.48,392.94000000006054,150762.42000000007,159117.03443847605
2012-07-09,150123.06,392.94000000006054,150516.00000000006,158856.27926644028
2012-07-10,148903.17,392.94000000006054,149296.11000000007,157565.42370757853
2012-07-11,148900.95,392.94000000006054,149293.89000000007,157563.0745618845
2012-07-12,148158.36,392.94000000006054,148551.30000000005,156777.28532723617
2012-07-13,150602.58,392.94000000006054,150995.52000000005,159363.6947363477
2012-07-16,150254.04,392.94000000006054,150646.98000000007,158994.8788623872
2012-07-17,151367.37,392.94000000006054,151760.31000000006,160172.9754279362
2012-07-18,152378.58,392.94000000006054,152771.52000000005,161243.01129156045
2012-07-19,152792.61,392.94000000006054,153185.55000000005,161681.12696349443
2012-07-20,151255.26,392.94000000006054,151648.20000000007,160054.34357038842
2012-07-23,149907.72,392.94000000006054,150300.66000000006,158628.4121341207
2012-07-24,148552.41,392.94000000006054,148945.35000000006,157194.25868792398
2012-07-25,148505.79,392.94000000006054,148898.73000000007,157144.92662834967
2012-07-26,150962.22,392.94000000006054,151355.16000000006,159744.2563387783
2012-07-27,153842.67,392.94000000006054,154235.61000000007,162792.27287676398
2012-07-30,153768.3,392.94000000006054,154161.24000000005,162713.57649601443
2012-07-31,153104.52,392.94000000006054,153497.46000000005,162011.18193350366
2012-08-01,152640.54,392.94000000006054,153033.48000000007,161520.21048345434
2012-08-02,151515.0,392.94000000006054,151907.94000000006,160329.19361658825
2012-08-03,154399.89,392.94000000006054,154792.83000000007,163381.90844596198
2012-08-06,154759.53,392.94000000006054,155152.47000000006,163762.47004839257
2012-08-07,155549.84999999998,392.94000000006054,155942.79000000004,164598.76591546225
2012-08-08,155646.42,392.94000000006054,156039.36000000007,164700.95375315196
2012-08-09,155710.8,392.94000000006054,156103.74000000005,164769.0789782784
