,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-08-20,-882,1071.69,SPX Index
2010-11-18,790,1196.68,SPX Index
2011-08-17,-698,1193.88,SPX Index
2012-02-06,620,1344.33,SPX Index
2012-08-21,-542,1413.17,SPX Index
2012-10-10,534,1432.56,SPX Index
2015-09-04,-526,1921.22,SPX Index
2016-03-01,511,1978.35,SPX Index
2016-04-01,-496,2072.78,SPX Index
2016-06-16,495,2077.99,SPX Index
