,amount,price,symbol
2010-01-04,441,1132.98,SPX Index
2010-06-23,-882,1092.04,SPX Index
2010-09-22,849,1134.28,SPX Index
2011-07-11,-816,1319.49,SPX Index
2011-12-06,855,1258.47,SPX Index
2012-06-08,-894,1325.66,SPX Index
2012-08-17,836,1418.16,SPX Index
2012-12-14,-778,1413.58,SPX Index
2013-01-28,733,1500.18,SPX Index
2015-08-06,-688,2083.56,SPX Index
2015-12-02,689,2079.51,SPX Index
2016-01-29,-690,1940.24,SPX Index
2016-04-19,638,2100.8,SPX Index
2016-11-08,-586,2139.56,SPX Index
2016-12-14,556,2253.28,SPX Index
